Serial Number:20440473 --

Date Time - GMT +01:00,"Temp, (*C)","RH, (%)","DewPt, (*C)",EOF,
2018-08-08 09:56:15,6.78,71.30,1.95, ,
2018-08-08 10:56:15,2.19,92.55,1.10, ,
2018-08-08 11:56:15,2.14,93.72,1.24, ,
2018-08-08 12:56:15,2.06,94.45,1.26, ,
2018-08-08 13:56:15,2.10,94.88,1.36, ,
2018-08-08 14:56:15,2.06,95.26,1.38, ,
2018-08-08 15:56:15,2.01,95.58,1.38, ,
2018-08-08 16:56:15,2.06,95.67,1.44, ,
2018-08-08 17:56:15,2.01,95.99,1.44, ,
2018-08-08 18:56:15,1.97,96.01,1.40, ,
2018-08-08 19:56:15,1.97,96.36,1.45, ,
2018-08-08 20:56:15,1.97,96.79,1.51, ,
2018-08-08 21:56:15,2.01,96.82,1.56, ,
2018-08-08 22:56:15,2.01,97.14,1.61, ,
2018-08-08 23:56:15,2.06,97.17,1.65, ,
2018-08-09 00:56:15,2.10,97.22,1.70, ,
2018-08-09 01:56:15,2.10,97.59,1.76, ,
2018-08-09 02:56:15,2.10,97.59,1.76, ,
2018-08-09 03:56:15,2.10,97.54,1.75, ,
2018-08-09 04:56:15,2.06,97.97,1.77, ,
2018-08-09 05:56:15,2.10,97.94,1.81, ,
2018-08-09 06:56:15,2.19,97.97,1.90, ,
2018-08-09 07:56:15,2.19,98.39,1.96, ,
2018-08-09 08:56:15,2.19,98.34,1.95, ,
2018-08-09 09:56:15,2.23,98.37,2.00, ,
2018-08-09 10:56:15,2.27,98.37,2.04, ,
2018-08-09 11:56:15,2.19,98.74,2.01, ,
2018-08-09 12:56:15,2.19,98.74,2.01, ,
2018-08-09 13:56:15,2.31,98.82,2.15, ,
2018-08-09 14:56:15,2.23,98.79,2.06, ,
2018-08-09 15:56:15,2.23,99.16,2.11, ,
2018-08-09 16:56:15,2.19,98.74,2.01, ,
2018-08-09 17:56:15,2.19,99.16,2.07, ,
2018-08-09 18:56:15,2.14,99.11,2.02, ,
2018-08-09 19:56:15,2.06,99.08,1.93, ,
2018-08-09 20:56:15,2.14,99.11,2.02, ,
2018-08-09 21:56:15,2.01,99.06,1.88, ,
2018-08-09 22:56:15,1.97,99.11,1.84, ,
2018-08-09 23:56:15,1.97,99.06,1.84, ,
2018-08-10 00:56:15,1.88,99.08,1.75, ,
2018-08-10 01:56:15,1.93,99.43,1.85, ,
2018-08-10 02:56:15,1.97,99.48,1.90, ,
2018-08-10 03:56:15,2.01,99.48,1.94, ,
2018-08-10 04:56:15,1.97,99.48,1.90, ,
2018-08-10 05:56:15,2.01,99.45,1.93, ,
2018-08-10 06:56:15,2.06,99.85,2.03, ,
2018-08-10 07:56:15,2.06,99.85,2.03, ,
2018-08-10 08:56:15,2.10,99.90,2.08, ,
2018-08-10 09:56:15,2.10,99.85,2.08, ,
2018-08-10 10:56:15,2.06,99.85,2.03, ,
2018-08-10 11:56:15,2.10,99.90,2.08, ,
2018-08-10 12:56:15,2.01,99.82,1.99, ,
2018-08-10 13:56:15,2.01,99.87,1.99, ,
2018-08-10 14:56:15,2.01,99.82,1.99, ,
2018-08-10 15:56:15,2.01,99.82,1.99, ,
2018-08-10 16:56:15,2.10,99.98,2.09, ,
2018-08-10 17:56:15,2.06,99.98,2.05, ,
2018-08-10 18:56:15,2.01,99.98,2.01, ,
2018-08-10 19:56:15,2.01,99.98,2.01, ,
2018-08-10 20:56:15,2.01,99.98,2.01, ,
2018-08-10 21:56:15,1.97,99.98,1.97, ,
2018-08-10 22:56:15,2.01,99.98,2.01, ,
2018-08-10 23:56:15,2.01,99.98,2.01, ,
2018-08-11 00:56:15,2.06,99.98,2.05, ,
2018-08-11 01:56:15,1.97,99.98,1.97, ,
2018-08-11 02:56:15,1.97,99.98,1.97, ,
2018-08-11 03:56:15,2.01,99.98,2.01, ,
2018-08-11 04:56:15,2.01,99.98,2.01, ,
2018-08-11 05:56:15,2.01,99.98,2.01, ,
2018-08-11 06:56:15,1.97,99.98,1.97, ,
2018-08-11 07:56:15,2.01,99.98,2.01, ,
2018-08-11 08:56:15,1.88,99.98,1.88, ,
2018-08-11 09:56:15,1.84,99.98,1.84, ,
2018-08-11 10:56:15,1.88,99.98,1.88, ,
2018-08-11 11:56:15,1.97,99.98,1.97, ,
2018-08-11 12:56:15,1.93,99.98,1.92, ,
2018-08-11 13:56:15,1.88,99.98,1.88, ,
2018-08-11 14:56:15,1.97,99.98,1.97, ,
2018-08-11 15:56:15,2.01,99.98,2.01, ,
2018-08-11 16:56:15,1.93,99.98,1.92, ,
2018-08-11 17:56:15,1.80,99.98,1.79, ,
2018-08-11 18:56:15,1.80,99.98,1.79, ,
2018-08-11 19:56:15,1.71,99.98,1.71, ,
2018-08-11 20:56:15,1.63,99.98,1.62, ,
2018-08-11 21:56:15,1.71,99.98,1.71, ,
2018-08-11 22:56:15,1.58,99.98,1.58, ,
2018-08-11 23:56:15,1.71,99.98,1.71, ,
2018-08-12 00:56:15,1.58,99.98,1.58, ,
2018-08-12 01:56:15,1.58,99.98,1.58, ,
2018-08-12 02:56:15,1.54,99.98,1.54, ,
2018-08-12 03:56:15,1.58,99.98,1.58, ,
2018-08-12 04:56:15,1.67,99.98,1.67, ,
2018-08-12 05:56:15,1.80,99.98,1.79, ,
2018-08-12 06:56:15,1.67,99.98,1.67, ,
2018-08-12 07:56:15,1.37,99.98,1.36, ,
2018-08-12 08:56:15,1.28,99.98,1.28, ,
2018-08-12 09:56:15,1.46,99.98,1.45, ,
2018-08-12 10:56:15,1.46,99.98,1.45, ,
2018-08-12 11:56:15,1.67,99.98,1.67, ,
2018-08-12 12:56:15,1.80,99.98,1.79, ,
2018-08-12 13:56:15,1.88,99.98,1.88, ,
2018-08-12 14:56:15,1.88,99.98,1.88, ,
2018-08-12 15:56:15,1.93,99.98,1.92, ,
2018-08-12 16:56:15,2.01,99.98,2.01, ,
2018-08-12 17:56:15,1.97,99.98,1.97, ,
2018-08-12 18:56:15,1.93,99.98,1.92, ,
2018-08-12 19:56:15,1.93,99.98,1.92, ,
2018-08-12 20:56:15,1.88,99.98,1.88, ,
2018-08-12 21:56:15,1.93,99.98,1.92, ,
2018-08-12 22:56:15,1.88,99.98,1.88, ,
2018-08-12 23:56:15,1.84,99.98,1.84, ,
2018-08-13 00:56:15,1.80,99.98,1.79, ,
2018-08-13 01:56:15,1.76,99.98,1.75, ,
2018-08-13 02:56:15,1.84,99.98,1.84, ,
2018-08-13 03:56:15,1.71,99.98,1.71, ,
2018-08-13 04:56:15,1.84,99.98,1.84, ,
2018-08-13 05:56:15,1.88,99.98,1.88, ,
2018-08-13 06:56:15,1.88,99.98,1.88, ,
2018-08-13 07:56:15,2.01,99.98,2.01, ,
2018-08-13 08:56:15,1.93,99.98,1.92, ,
2018-08-13 09:56:15,2.01,99.98,2.01, ,
2018-08-13 10:56:15,1.93,99.98,1.92, ,
2018-08-13 11:56:15,1.93,99.98,1.92, ,
2018-08-13 12:56:15,1.88,99.98,1.88, ,
2018-08-13 13:56:15,1.88,99.98,1.88, ,
2018-08-13 14:56:15,1.93,99.98,1.92, ,
2018-08-13 15:56:15,1.88,99.98,1.88, ,
2018-08-13 16:56:15,1.88,99.98,1.88, ,
2018-08-13 17:56:15,2.27,99.98,2.27, ,
2018-08-13 18:56:15,1.76,99.98,1.75, ,
2018-08-13 19:56:15,1.84,99.98,1.84, ,
2018-08-13 20:56:15,1.97,99.98,1.97, ,
2018-08-13 21:56:15,1.93,99.98,1.92, ,
2018-08-13 22:56:15,1.76,99.98,1.75, ,
2018-08-13 23:56:15,1.76,99.98,1.75, ,
2018-08-14 00:56:15,1.80,99.98,1.79, ,
2018-08-14 01:56:15,1.88,99.98,1.88, ,
2018-08-14 02:56:15,1.97,99.98,1.97, ,
2018-08-14 03:56:15,1.93,99.98,1.92, ,
2018-08-14 04:56:15,1.76,99.98,1.75, ,
2018-08-14 05:56:15,1.54,99.98,1.54, ,
2018-08-14 06:56:15,1.63,99.98,1.62, ,
2018-08-14 07:56:15,1.76,99.98,1.75, ,
2018-08-14 08:56:15,1.88,99.98,1.88, ,
2018-08-14 09:56:15,1.88,99.98,1.88, ,
2018-08-14 10:56:15,1.71,99.98,1.71, ,
