NAME	NAME	NAME	ADJ_LENGTH	ADJ_GRADIENT	ADJ_BEARING
brezno_planja_ent	0	1	3.041	-28.26	23.31
brezno_planja_ent	1	2	6.752	-71.68	18.69
brezno_planja_ent	2	3	8.154	-34.86	173.65
brezno_planja_ent	3	4	4.479	7.96	260.13
brezno_planja_ent	4	5	7.362	21.43	286.53
brezno_planja_ent	5	6	4.953	-10.82	299.83
brezno_planja_ent	6	7	3.326	-33.39	279.33
brezno_planja_ent	2	8	3.512	18.6	83.96
brezno_planja_ent	8	9	5.263	46.38	14.84
brezno_planja_ent	9	10	2.745	63.2	74.05
brezno_planja_ent	10	11	7.188	76.17	354.32
brezno_planja_ent	2	12	2.434	10.89	294.21
brezno_planja_ent	12	13	2.368	-33.59	296.18
brezno_planja_ent	13	14	2.772	-53.57	259.85
brezno_planja_ent	14	15	9.213	-74.78	223.66
brezno_planja_ent	15	16	4.243	-40.76	114.25
brezno_planja_ent	15	17	3.133	55.45	301.18
brezno_planja_ent	17	18	3.694	0.93	288.63
brezno_planja_ent	18	19	2.881	-7.38	196.47
brezno_planja_ent	19	20	4.703	-1.58	277.58
brezno_planja_ent	20	22	3.572	-6.11	312.95
brezno_planja_ent	27	22	1.286	84.48	255.96
brezno_planja_ent	22	23	3.43	5.52	272.69
brezno_planja_ent	23	24	3.371	1.7	339.68
brezno_planja_ent	24	25	3.483	-29.02	79.02
brezno_planja_ent	25	26	2.797	-20.51	137.79
brezno_planja_ent	26	27	2.156	26.44	181.48
brezno_planja_ent	25	28	3.125	-50.45	52.55
brezno_planja_ent	28	29	5.006	-2.75	270.46
brezno_planja_ent	29	30	3.341	-5.32	288.76
brezno_planja_ent	30	31	2.231	-33.77	293.52
brezno_planja_ent	31	32	2.002	-8.04	351.3
brezno_planja_ent	32	33	5.986	-33.45	279.91
brezno_planja_ent	33	34	2.811	-59.84	229.88
brezno_planja_ent	34	35	6.156	-35.68	53.7
okna	1	2	6.204	35.02	114.04
okna	2	3	5.306	80.97	324.78
okna	3	4	3.992	32.93	219.92
okna	4	5	1.304	-12.85	267.3
okna	5	6	4.002	51.0	157.1
okna	6	7	5.995	-4.98	175.01
okna	7	8	5.403	-52.04	95.18
okna	8	9	9.2	72.0	246.14
okna	9	10	2.198	23.03	273.12
okna	11	12	5.998	75.99	350.08
okna	12	13	3.498	62.04	270.0
prazen_list	1	2	5.402	-3.71	277.89
prazen_list	1	3	7.165	22.48	31.41
prazen_list	3	4	2.738	-26.23	47.48
prazen_list	4	5	4.569	47.89	143.09
prazen_list	5	6	3.519	-37.05	133.12
prazen_list	6	7	3.256	-26.05	188.85
prazen_list	7	8	3.35	15.94	88.4
prazen_list	8	9	2.097	59.14	163.25
prazen_list	9	10	2.09	6.32	100.82
prazen_list	10	11	5.869	76.2	233.13
prazen_list	11	12	3.147	35.78	225.16
prazen_list	12	13	3.243	10.48	225.13
prazen_list	13	14	2.158	-20.62	7.97
prazen_list	13	15	2.636	70.22	160.35
prazen_list	15	16	4.902	1.17	181.4
prazen_list	16	17	4.712	73.16	134.7
prazen_list	17	18	2.255	26.33	288.17
bingo_flamingo	0	1	2.514	-22.94	72.66
bingo_flamingo	1	2	2.343	-52.54	120.34
bingo_flamingo	2	3	1.736	-54.32	227.8
bingo_flamingo	3	4	1.255	-18.58	180.48
bingo_flamingo	4	5	3.666	-62.43	135.48
bingo_flamingo	5	6	9.473	-74.54	134.52
bingo_flamingo	6	7	3.193	43.55	147.89
bingo_flamingo	7	8	1.098	-10.49	179.47
bingo_flamingo	8	9	2.51	-19.8	181.94
bingo_flamingo	9	10	1.522	-13.3	83.02
bingo_flamingo	10	11	2.128	-50.43	152.3
bingo_flamingo	11	12	2.956	-45.27	127.97
bingo_flamingo	12	13	1.952	-8.54	90.59
bingo_flamingo	13	14	3.048	-73.32	79.46
bingo_flamingo	14	15	1.792	0.64	239.86
bingo_flamingo	14	16	2.222	3.35	296.22
bingo_flamingo	16	17	1.788	-20.29	282.05
bingo_flamingo	15	18	2.506	-4.58	114.1
bingo_flamingo	18	19	2.584	-2.44	106.89
bingo_flamingo	19	20	0.806	-7.12	358.57
bingo_flamingo	20	21	0.386	-18.1	119.36
bingo_flamingo	21	22	1.014	-9.65	73.74
bingo_flamingo	22	23	8.962	-53.67	9.21
bingo_flamingo_2	1	2	7.391	-33.04	29.17
bingo_flamingo_2	2	3	14.0	90.0	90.0
bingo_flamingo_2	3	4	7.006	56.03	16.17
bingo_flamingo_2	4	5	13.4	90.0	90.0
bingo_flamingo_2	5	6	17.0	80.98	60.07
bingo_flamingo_2	6	7	3.397	65.06	18.31
bingo_flamingo_2	7	8	5.204	-2.97	340.21
osmica	1	2	19.101	78.99	58.23
osmica	2	3	11.803	76.98	44.09
osmica	3	4	2.494	0.92	56.12
osmica	4	5	1.201	17.94	74.26
osmica	5	6	2.406	-9.81	47.22
osmica	6	7	2.595	17.96	330.11
osmica	7	8	3.596	4.95	81.17
osmica	8	9	3.2	7.0	73.16
osmica	9	10	0.898	-44.57	80.1
osmica	10	11	1.293	-1.33	116.17
osmica	11	12	3.399	3.04	87.3
osmica	12	13	5.704	8.06	61.21
osmica	13	14	1.898	-4.23	118.05
osmica	14	15	2.198	9.95	25.14
osmica	15	16	3.607	0.0	50.17
