Serial Number:20440475 --

Date Time - GMT +01:00,"Temp, (*C)","RH, (%)","DewPt, (*C)",Host Connect,EOF,
2018-08-08 09:56:58,8.92,59.40,1.45, , ,
2018-08-08 10:56:58,0.68,91.38,-0.56, , ,
2018-08-08 11:56:58,0.60,93.29,-0.36, , ,
2018-08-08 12:56:58,0.51,93.67,-0.39, , ,
2018-08-08 13:56:58,0.60,94.10,-0.24, , ,
2018-08-08 14:56:58,0.55,94.42,-0.24, , ,
2018-08-08 15:56:58,0.51,95.23,-0.17, , ,
2018-08-08 16:56:58,0.51,95.18,-0.17, , ,
2018-08-08 17:56:58,0.51,95.23,-0.17, , ,
2018-08-08 18:56:58,0.47,95.61,-0.15, , ,
2018-08-08 19:56:58,0.51,96.01,-0.05, , ,
2018-08-08 20:56:58,0.47,95.99,-0.10, , ,
2018-08-08 21:56:58,0.51,96.34,-0.01, , ,
2018-08-08 22:56:58,0.47,96.36,-0.05, , ,
2018-08-08 23:56:58,0.51,96.71,0.05, , ,
2018-08-09 00:56:58,0.47,96.77,0.01, , ,
2018-08-09 01:56:58,0.38,96.69,-0.09, , ,
2018-08-09 02:56:58,0.34,96.69,-0.13, , ,
2018-08-09 03:56:58,0.25,97.03,-0.16, , ,
2018-08-09 04:56:58,0.25,97.03,-0.16, , ,
2018-08-09 05:56:58,0.38,97.11,-0.02, , ,
2018-08-09 06:56:58,0.47,97.49,0.11, , ,
2018-08-09 07:56:58,0.55,97.51,0.20, , ,
2018-08-09 08:56:58,0.60,97.89,0.30, , ,
2018-08-09 09:56:58,0.55,97.89,0.26, , ,
2018-08-09 10:56:58,0.60,97.89,0.30, , ,
2018-08-09 11:56:58,0.51,97.91,0.22, , ,
2018-08-09 12:56:58,0.60,97.94,0.31, , ,
2018-08-09 13:56:58,0.60,98.29,0.35, , ,
2018-08-09 14:56:58,0.60,98.29,0.35, , ,
2018-08-09 15:56:58,0.55,98.26,0.31, , ,
2018-08-09 16:56:58,0.55,98.26,0.31, , ,
2018-08-09 17:56:58,0.51,98.63,0.32, , ,
2018-08-09 18:56:58,0.55,98.66,0.36, , ,
2018-08-09 19:56:58,0.55,98.68,0.37, , ,
2018-08-09 20:56:58,0.51,98.68,0.32, , ,
2018-08-09 21:56:58,0.47,98.63,0.27, , ,
